stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y,stateEstimate.roll_x,stateEstimate.roll_y,stateEstimate.pitch_x,stateEstimate.pitch_y,stateEstimate.yaw_x,stateEstimate.yaw_y
1022244.,0.0818,1022244.,0.2323,1022244.,0.0126,1022244.,0.0851,1022244.,0.0042,1022244.,-0.7795
1022284.,0.0822,1022284.,0.2328,1022284.,0.0121,1022284.,0.1348,1022284.,0.044,1022284.,-0.7115
1022324.,0.0825,1022324.,0.2335,1022324.,0.0126,1022324.,0.1054,1022324.,0.0340,1022324.,-0.7112
1022364.,0.084,1022364.,0.2334,1022364.,0.0129,1022364.,0.1365,1022364.,-0.0250,1022364.,-0.6952
1022404.,0.0834,1022404.,0.2332,1022404.,0.0124,1022404.,0.1465,1022404.,-0.0141,1022404.,-0.6896
1022444.,0.0819,1022444.,0.2356,1022444.,0.0119,1022444.,0.0778,1022444.,0.0399,1022444.,-0.6321
1022484.,0.0832,1022484.,0.2353,1022484.,0.0121,1022484.,0.0586,1022484.,0.0062,1022484.,-0.6762
1022524.,0.0831,1022524.,0.2346,1022524.,0.0114,1022524.,0.0919,1022524.,0.0019,1022524.,-0.6701
1022564.,0.0835,1022564.,0.2338,1022564.,0.0113,1022564.,0.0773,1022564.,0.0086,1022564.,-0.7183
1022604.,0.0841,1022604.,0.2330,1022604.,0.0116,1022604.,0.1384,1022604.,-0.0128,1022604.,-0.6884
1022644.,0.0830,1022644.,0.2363,1022644.,0.0111,1022644.,-0.0194,1022644.,0.0264,1022644.,-0.6914
1022684.,0.0849,1022684.,0.2386,1022684.,0.0119,1022684.,-0.0596,1022684.,-0.0194,1022684.,-0.6681
1022724.,0.0842,1022724.,0.2392,1022724.,0.0129,1022724.,-0.032,1022724.,-0.0117,1022724.,-0.6338
1022764.,0.0846,1022764.,0.2367,1022764.,0.0133,1022764.,0.0441,1022764.,-0.0249,1022764.,-0.6813
1022804.,0.0825,1022804.,0.2375,1022804.,0.0131,1022804.,0.0758,1022804.,0.061,1022804.,-0.6568
1022844.,0.0826,1022844.,0.2392,1022844.,0.0121,1022844.,0.0388,1022844.,0.0221,1022844.,-0.6122
1022884.,0.0822,1022884.,0.2381,1022884.,0.0114,1022884.,0.0954,1022884.,0.0190,1022884.,-0.6103
1022924.,0.0824,1022924.,0.2382,1022924.,0.0113,1022924.,0.0890,1022924.,-0.0155,1022924.,-0.5872
1022964.,0.0825,1022964.,0.238,1022964.,0.0113,1022964.,0.0665,1022964.,-0.0085,1022964.,-0.6315
1023004.,0.0844,1023004.,0.2367,1023004.,0.0112,1023004.,0.1615,1023004.,-0.0295,1023004.,-0.6243
1023044.,0.084,1023044.,0.2372,1023044.,0.0107,1023044.,0.1589,1023044.,-0.0337,1023044.,-0.5749
1023084.,0.0843,1023084.,0.2376,1023084.,0.0109,1023084.,0.1129,1023084.,-0.021,1023084.,-0.6043
1023124.,0.0835,1023124.,0.2377,1023124.,0.0101,1023124.,0.1511,1023124.,-0.0178,1023124.,-0.5443
1023164.,0.0830,1023164.,0.2395,1023164.,0.0109,1023164.,0.1056,1023164.,-0.0193,1023164.,-0.5171
1023204.,0.0837,1023204.,0.2374,1023204.,0.0121,1023204.,0.1476,1023204.,0.0237,1023204.,-0.5733
1023244.,0.0852,1023244.,0.2365,1023244.,0.0129,1023244.,0.1191,1023244.,-0.0276,1023244.,-0.6177
1023284.,0.0851,1023284.,0.2359,1023284.,0.0117,1023284.,0.0781,1023284.,-0.0164,1023284.,-0.6617
1023324.,0.0837,1023324.,0.2343,1023324.,0.0116,1023324.,0.1140,1023324.,0.0638,1023324.,-0.6767
1023364.,0.0838,1023364.,0.2346,1023364.,0.0116,1023364.,0.0898,1023364.,0.0506,1023364.,-0.6824
1023404.,0.0845,1023404.,0.2352,1023404.,0.0111,1023404.,0.0943,1023404.,0.0405,1023404.,-0.6626
1023444.,0.0851,1023444.,0.2346,1023444.,0.0111,1023444.,0.1398,1023444.,0.0304,1023444.,-0.6577
1023484.,0.0851,1023484.,0.2359,1023484.,0.0112,1023484.,0.0618,1023484.,-0.0368,1023484.,-0.6463
1023524.,0.0852,1023524.,0.2359,1023524.,0.0118,1023524.,0.0584,1023524.,-0.0433,1023524.,-0.6544
1023564.,0.0846,1023564.,0.2362,1023564.,0.0111,1023564.,0.0585,1023564.,-0.0311,1023564.,-0.6428
1023604.,0.0864,1023604.,0.2349,1023604.,0.0117,1023604.,0.1130,1023604.,-0.0991,1023604.,-0.6397
1023644.,0.0872,1023644.,0.2380,1023644.,0.0121,1023644.,0.027,1023644.,-0.0863,1023644.,-0.6164
1023684.,0.0863,1023684.,0.2365,1023684.,0.0119,1023684.,0.1134,1023684.,-0.0700,1023684.,-0.5960
1023724.,0.0863,1023724.,0.238,1023724.,0.0130,1023724.,0.0515,1023724.,-0.0661,1023724.,-0.6043
1023764.,0.0867,1023764.,0.2396,1023764.,0.0116,1023764.,0.0275,1023764.,-0.0775,1023764.,-0.5738
1023804.,0.0858,1023804.,0.2382,1023804.,0.0123,1023804.,0.0736,1023804.,-0.0364,1023804.,-0.5743
1023844.,0.087,1023844.,0.2386,1023844.,0.012,1023844.,0.0794,1023844.,-0.0334,1023844.,-0.5620
1023884.,0.0867,1023884.,0.2397,1023884.,0.0122,1023884.,0.0425,1023884.,-0.0518,1023884.,-0.5535
1023924.,0.0857,1023924.,0.2394,1023924.,0.0118,1023924.,0.0645,1023924.,-0.0147,1023924.,-0.5454
1023964.,0.0846,1023964.,0.2391,1023964.,0.0112,1023964.,0.1222,1023964.,-0.0036,1023964.,-0.4912
1024004.,0.0831,1024004.,0.2408,1024004.,0.0111,1024004.,0.0591,1024004.,0.0052,1024004.,-0.4699
1024044.,0.0850,1024044.,0.2387,1024044.,0.0115,1024044.,0.1228,1024044.,-0.0274,1024044.,-0.4854
1024084.,0.0867,1024084.,0.2390,1024084.,0.0117,1024084.,0.0635,1024084.,-0.0562,1024084.,-0.5278
1024124.,0.0856,1024124.,0.2372,1024124.,0.0116,1024124.,0.1188,1024124.,-0.0175,1024124.,-0.5358
1024164.,0.0887,1024164.,0.2370,1024164.,0.0111,1024164.,0.0722,1024164.,-0.1363,1024164.,-0.5724
1024204.,0.0872,1024204.,0.2384,1024204.,0.0106,1024204.,0.0324,1024204.,-0.0804,1024204.,-0.5519
1024244.,0.0872,1024244.,0.2388,1024244.,0.0112,1024244.,0.0413,1024244.,-0.0945,1024244.,-0.5136
1024284.,0.0858,1024284.,0.2387,1024284.,0.0122,1024284.,0.0604,1024284.,-0.0144,1024284.,-0.5097
1024324.,0.084,1024324.,0.2389,1024324.,0.012,1024324.,0.0874,1024324.,0.0496,1024324.,-0.4682
1024364.,0.084,1024364.,0.2374,1024364.,0.0123,1024364.,0.0846,1024364.,0.0437,1024364.,-0.5236
1024404.,0.0844,1024404.,0.2356,1024404.,0.0128,1024404.,0.1288,1024404.,0.0361,1024404.,-0.5483
